code,descr,status,picref,catalog1,catalog2,price1,price2,price3,price4,buy1,buy2,buy3,buy4,oldprice1,oldprice2,oldprice3,oldprice4,catgDisplayNum,info
6110o392,"1984 Stand-By - Seven Species (8 Values) Changes with Phosphor bands","! NEW ! In Stock",pic.php?ID=6110o392,"B 841-I~897-I","C 957P ~65P",50.00,,,,cart2.php?Action=Add&Prod=6110o392&Which=Price,,,,,,,,1,
6110o526,"1990 Ardon Windows - Souvenir Sheet Imperforate MNH VF","Sold Out",pic.php?ID=6110o526,"C B42a","S 1041 note",25.00,,,,,,,,,,,,1,
6110o564,"1991 Postal & Philatelic Museum - Imperforate, numerated Souvenir Sheet MNH VF","1 Back In Stock",pic.php?ID=6110o564,"C B44a","S 1088 see text",27.00,,,,cart2.php?Action=Add&Prod=6110o564&Which=Price,,,,,,,,1,
6110o637A,"1994 Public Transport 0.90 - No Phosphor on FDC(normal - one right phosphor)","Sold Out",pic.php?ID=6110o637A,"B 1163p2","C 1411wo",15.00,,,,,,,,,,,,1,
6110o645,"1995 End of W.W.II & Liberation of the Camps Full Sheet of 10 stamps VF MNH - it's known as the first Israeli small sheet format (Kleinbogen) issue","In Stock",pic.php?ID=6110o645,"C 1426 full","S 1228 full",100.00,,,,cart2.php?Action=Add&Prod=6110o645&Which=Price,,,,,,,,1,
6110o677,"1996 Fruits 1.05 - Error two narrow Phosphor, not listed","! NEW ! 1 In Stock",pic.php?ID=6110o677,"B --","C --",50.00,,,,cart2.php?Action=Add&Prod=6110o677&Which=Price,,,,,,,,1,
6110o719A,"1998 'Srulik' Israel 50 Jubilee - Full Tete-Beche Sheet (40) No serial number VF","In Stock",pic.php?ID=6110o719A,"B IrS.45e",,250.00,,,,cart2.php?Action=Add&Prod=6110o719A&Which=Price,,,,,,,,1,
6110o894,"2004 Ottoman Clock Towers from Prestige Booklet (5v) (Face Value Differ)","! NEW ! 1 In Stock",pic.php?ID=6110o894,"B PB.2","S 1563 all",18.00,,,,cart2.php?Action=Add&Prod=6110o894&Which=Price,,,,,,,,1,
6110ob6b,"1950 Booklet Coinage Mered 360pr 'Mata' 'ISRAEI' on 10 pr stamp (6x5pr + 6x10pr + 6x15pr + 6x30pr) MNH F","Sold Out",pic.php?ID=6110ob6b,"C B16b","B B.6b",170.00,,,,,,,,,,,,1,
6110oPR1,"1989 Booklet 'TEVEL 89' National Stamp Exhibition for Youth Philately (4v) prepared by IPS and IPF","Sold Out",pic.php?ID=6110oPR1,"C 1219B","B B.PR1",20.00,,,,,,,,,,,,1,
6110oPR1c,"1989 Booklet 'TEVEL 89' National Stamp Exhibition for Youth Philately (4v) prepared by IPS and IPF, numbered, canceled 26.12.1989","! NEW ! 1 In Stock",pic.php?ID=6110oPR1c,"C 1219B","B B.PR1",17.50,,,,cart2.php?Action=Add&Prod=6110oPR1c&Which=Price,,,,,,,,1,
6110o19bB,"1991 Booklet, Olive Branch non denomination, Gray (16v) Leaves facing center, First Day Cancel 25.11.91","Sold Out",pic.php?ID=6110o19bB,"C --","B B.19bB",20.00,,,,,,,,,,,,1,
6110o9002,"09.07.90 Machine Postage Label 'Klussendorf 1' Definitive, long set of 7 values 0.55/0.70/0.80/1.00/1.30/2.35/3.00","1 In Stock",pic.php?ID=6110o9002,"C page3","B K.1",40.00,,,,cart2.php?Action=Add&Prod=6110o9002&Which=Price,,,,,,,,1,
6110o9104,"17.12.91 Machine Postage Label 'Massad 2' Definitive, tariff set of 3 values 0.75/3.25/43.00","Sold Out",pic.php?ID=6110o9104,"C M3","B M.2",175.00,,,,,,,,,,,,1,
